"Id","Age","Gen","Job","Edu","Duration","Man","NF_N1","NF_N2","Prob","Sol_Time","Scr","response","Adv","BR","HR","FAR","true_posterior"
440,31,1,2,2,83,"Frequency",1,100,NA,43.726,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
441,57,2,1,4,138,"Probability",NA,NA,75,82.8,0,0.75,46.22302158,0.01,0.8,0.02,0.287769784172662
442,43,2,1,3,192,"Probability",NA,NA,98,109.71,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
443,64,2,2,3,130,"Frequency",1,1000,NA,57.495,0,0,28.67697842,0.01,0.8,0.02,0.287769784172662
444,61,1,1,3,331,"Frequency",278,10000,NA,193.972,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
446,68,2,1,4,247,"Probability",NA,NA,80,100.745,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
449,32,1,10,3,202,"Frequency",1,100,NA,138.472,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
451,52,2,3,2,156,"Probability",NA,NA,82,81.379,0,0.82,53.22302158,0.01,0.8,0.02,0.287769784172662
452,45,1,7,3,175,"Probability",NA,NA,0.5,116.577,0,0,28.27697842,0.01,0.8,0.02,0.287769784172662
454,76,2,1,3,333,"Probability",NA,NA,98,200.779,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
455,76,2,8,3,173,"Frequency",60,100,NA,75.978,0,0.6,31.22302158,0.01,0.8,0.02,0.287769784172662
456,37,2,9,2,192,"Frequency",300,10000,NA,80.441,0,0.03,25.77697842,0.01,0.8,0.02,0.287769784172662
457,58,1,9,2,135,"Probability",NA,NA,1,46.983,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
460,44,2,9,4,172,"Probability",NA,NA,1,118.561,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
461,43,1,1,3,145,"Probability",NA,NA,1,85.179,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
464,73,2,8,2,394,"Probability",NA,NA,2,224.485,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
466,55,1,1,2,275,"Frequency",9,100,NA,182.267,0,0.09,19.77697842,0.01,0.8,0.02,0.287769784172662
467,42,1,7,4,207,"Frequency",29,100,NA,139.712,0,0.29,0.223021583,0.01,0.8,0.02,0.287769784172662
468,48,1,10,2,107,"Probability",NA,NA,80,51.462,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
469,42,1,3,3,662,"Probability",NA,NA,0.2,572.623,0,0,28.57697842,0.01,0.8,0.02,0.287769784172662
470,55,2,1,4,145,"Probability",NA,NA,2,67.872,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
471,46,1,10,3,128,"Frequency",1,100,NA,91.675,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
472,43,1,1,3,161,"Probability",NA,NA,78,104.793,0,0.78,49.22302158,0.01,0.8,0.02,0.287769784172662
476,47,1,10,4,281,"Frequency",80,1000,NA,241.43,0,0.08,20.77697842,0.01,0.8,0.02,0.287769784172662
477,54,1,2,3,205,"Frequency",2.8,100,NA,129.517,0,0.03,25.97697842,0.01,0.8,0.02,0.287769784172662
478,36,2,1,3,276,"Frequency",100,10000,NA,200.131,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
479,46,1,1,3,261,"Probability",NA,NA,0.8,71.207,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
480,49,2,3,2,392,"Frequency",4,5,NA,323.464,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
481,42,1,1,2,94,"Probability",NA,NA,78,58.146,0,0.78,49.22302158,0.01,0.8,0.02,0.287769784172662
483,27,1,1,3,156,"Frequency",279,10000,NA,41.93,0,0.03,25.98697842,0.01,0.8,0.02,0.287769784172662
485,28,1,10,2,193,"Probability",NA,NA,0.8,132.374,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
486,50,2,10,3,477,"Probability",NA,NA,2,350.607,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
487,51,1,1,3,116,"Probability",NA,NA,80,68.747,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
488,64,1,8,4,282,"Frequency",80,100,NA,180.37,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
489,55,1,10,2,477,"Probability",NA,NA,123,430.289,0,1.23,94.22302158,0.01,0.8,0.02,0.287769784172662
490,52,1,1,4,92,"Probability",NA,NA,2.8,38.791,0,0.03,25.97697842,0.01,0.8,0.02,0.287769784172662
491,40,1,1,3,203,"Frequency",278,10000,NA,103.529,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
492,36,2,7,4,302,"Frequency",100,100,NA,238.25,0,1,71.22302158,0.01,0.8,0.02,0.287769784172662
493,22,1,9,2,93,"Frequency",2,100,NA,45.084,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
495,54,1,7,3,305,"Probability",NA,NA,1,184.314,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
496,37,2,9,3,299,"Frequency",80,10000,NA,148.758,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
498,37,1,10,3,410,"Frequency",80,278,NA,266.718,1,0.29,0,0.01,0.8,0.02,0.287769784172662
499,54,1,9,2,201,"Frequency",80,298,NA,76.262,0,0.27,1.931340833,0.01,0.8,0.02,0.287769784172662
500,41,1,5,2,230,"Frequency",17,178,NA,160.285,0,0.1,19.22641662,0.01,0.8,0.02,0.287769784172662
501,52,1,1,1,202,"Frequency",278,10000,NA,134.822,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
502,28,1,9,2,428,"Frequency",222,278,NA,342.593,0,0.8,51.07913669,0.01,0.8,0.02,0.287769784172662
505,41,1,2,3,166,"Frequency",278,10000,NA,110.779,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
506,68,1,8,5,261,"Frequency",80,278,NA,189.801,1,0.29,0,0.01,0.8,0.02,0.287769784172662
507,58,1,2,3,222,"Probability",NA,NA,10,135.977,0,0.1,18.77697842,0.01,0.8,0.02,0.287769784172662
508,58,1,1,2,332,"Probability",NA,NA,78,173.347,0,0.78,49.22302158,0.01,0.8,0.02,0.287769784172662
509,53,1,1,3,218,"Frequency",278,10000,NA,159.019,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
513,56,1,1,2,268,"Frequency",20,100,NA,126.654,0,0.2,8.776978417,0.01,0.8,0.02,0.287769784172662
514,47,1,9,5,137,"Frequency",80,178,NA,78.805,0,0.45,16.16684181,0.01,0.8,0.02,0.287769784172662
516,27,2,2,2,234,"Frequency",278,10000,NA,166.455,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
517,24,2,9,4,717,"Frequency",2,200,NA,687.112,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
519,56,1,3,2,379,"Probability",NA,NA,76,322.032,0,0.76,47.22302158,0.01,0.8,0.02,0.287769784172662
520,40,1,1,3,108,"Probability",NA,NA,0.04,80.821,0,0,28.73697842,0.01,0.8,0.02,0.287769784172662
521,22,1,1,4,202,"Probability",NA,NA,1,135.318,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
524,32,1,1,3,162,"Frequency",3,278,NA,121.425,0,0.01,27.69784173,0.01,0.8,0.02,0.287769784172662
525,28,1,1,4,1048,"Frequency",278,10000,NA,769.125,0,0.03,25.99697842,0.01,0.8,0.02,0.287769784172662
527,31,1,1,2,146,"Frequency",100,10000,NA,81.48,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
528,58,1,8,3,475,"Frequency",80,278,NA,398.554,1,0.29,0,0.01,0.8,0.02,0.287769784172662
529,50,1,1,3,162,"Probability",NA,NA,80,86.233,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
531,57,1,8,3,217,"Frequency",40,139,NA,163.662,0,0.29,0,0.01,0.8,0.02,0.287769784172662
532,55,2,9,3,350,"Probability",NA,NA,1,224.828,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
533,27,1,1,3,122,"Probability",NA,NA,89,67.443,0,0.89,60.22302158,0.01,0.8,0.02,0.287769784172662
534,32,1,7,2,78,"Probability",NA,NA,80,21.35,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
537,45,1,9,2,444,"Probability",NA,NA,1,232.202,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
538,43,1,5,2,138,"Frequency",80,100,NA,100.482,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
539,25,1,9,2,102,"Frequency",1,100,NA,61.534,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
540,37,1,3,3,83,"Probability",NA,NA,2,44.389,0,0.02,26.77697842,0.01,0.8,0.02,0.287769784172662
541,44,1,5,4,80,"Probability",NA,NA,75,41.458,0,0.75,46.22302158,0.01,0.8,0.02,0.287769784172662
542,51,2,1,4,284,"Probability",NA,NA,74,33.201,0,0.74,45.22302158,0.01,0.8,0.02,0.287769784172662
544,62,1,1,4,254,"Probability",NA,NA,1,172.646,0,0.01,27.77697842,0.01,0.8,0.02,0.287769784172662
545,38,1,1,4,247,"Frequency",80,10000,NA,167.569,0,0.01,27.97697842,0.01,0.8,0.02,0.287769784172662
546,42,1,10,3,221,"Probability",NA,NA,80,159.249,0,0.8,51.22302158,0.01,0.8,0.02,0.287769784172662
547,55,1,8,2,228,"Probability",NA,NA,0.82,192.201,0,0.01,27.95697842,0.01,0.8,0.02,0.287769784172662
548,34,1,9,3,178,"Probability",NA,NA,98,125.777,0,0.98,69.22302158,0.01,0.8,0.02,0.287769784172662
