"subject","br","hr","far","true_posterior","response","presentation_format","format","condition","trial"
5,0.7,0.9,0.5,0.8077,0.65,"Symbolic","frequency","symbolic_natural",36
5,0.9,0.5,0.1,0.9783,0.67,"Symbolic","frequency","symbolic_natural",37
5,0.9,0.5,0.3,0.9375,0.45,"Symbolic","frequency","symbolic_natural",38
5,0.9,0.5,0.5,0.9,0.42,"Symbolic","frequency","symbolic_natural",39
5,0.9,0.7,0.1,0.9844,0.63,"Symbolic","frequency","symbolic_natural",40
5,0.9,0.7,0.3,0.9545,0.57,"Symbolic","frequency","symbolic_natural",41
5,0.9,0.7,0.5,0.9265,0.43,"Symbolic","frequency","symbolic_natural",42
5,0.9,0.9,0.1,0.9878,0.9,"Symbolic","frequency","symbolic_natural",43
5,0.9,0.9,0.3,0.9643,0.83,"Symbolic","frequency","symbolic_natural",44
5,0.9,0.9,0.5,0.9419,0.82,"Symbolic","frequency","symbolic_natural",45
6,0.1,0.5,0.1,0.3571,0.1,"Symbolic","frequency","symbolic_natural",1
6,0.1,0.5,0.3,0.1562,0.05,"Symbolic","frequency","symbolic_natural",2
6,0.1,0.5,0.5,0.1,0.15,"Symbolic","frequency","symbolic_natural",3
6,0.1,0.7,0.1,0.4375,0.14,"Symbolic","frequency","symbolic_natural",4
6,0.1,0.7,0.3,0.2059,0.1,"Symbolic","frequency","symbolic_natural",5
6,0.1,0.7,0.5,0.1346,0.2,"Symbolic","frequency","symbolic_natural",6
6,0.1,0.9,0.1,0.5,0.15,"Symbolic","frequency","symbolic_natural",7
6,0.1,0.9,0.3,0.25,0.12,"Symbolic","frequency","symbolic_natural",8
6,0.1,0.9,0.5,0.1667,0.12,"Symbolic","frequency","symbolic_natural",9
6,0.3,0.5,0.1,0.6818,0.3,"Symbolic","frequency","symbolic_natural",10
6,0.3,0.5,0.3,0.4167,0.25,"Symbolic","frequency","symbolic_natural",11
6,0.3,0.5,0.5,0.3,0.2,"Symbolic","frequency","symbolic_natural",12
6,0.3,0.7,0.1,0.75,0.3,"Symbolic","frequency","symbolic_natural",13
6,0.3,0.7,0.3,0.5,0.3,"Symbolic","frequency","symbolic_natural",14
6,0.3,0.7,0.5,0.375,0.35,"Symbolic","frequency","symbolic_natural",15
6,0.3,0.9,0.1,0.7941,0.4,"Symbolic","frequency","symbolic_natural",16
6,0.3,0.9,0.3,0.5625,0.4,"Symbolic","frequency","symbolic_natural",17
6,0.3,0.9,0.5,0.4355,0.3,"Symbolic","frequency","symbolic_natural",18
6,0.5,0.5,0.1,0.8333,0.2,"Symbolic","frequency","symbolic_natural",19
6,0.5,0.5,0.3,0.625,0.15,"Symbolic","frequency","symbolic_natural",20
6,0.5,0.5,0.5,0.5,0.15,"Symbolic","frequency","symbolic_natural",21
6,0.5,0.7,0.1,0.875,0.25,"Symbolic","frequency","symbolic_natural",22
6,0.5,0.7,0.3,0.7,0.2,"Symbolic","frequency","symbolic_natural",23
6,0.5,0.7,0.5,0.5833,0.2,"Symbolic","frequency","symbolic_natural",24
6,0.5,0.9,0.1,0.9,0.45,"Symbolic","frequency","symbolic_natural",25
6,0.5,0.9,0.3,0.75,0.45,"Symbolic","frequency","symbolic_natural",26
6,0.5,0.9,0.5,0.6429,0.43,"Symbolic","frequency","symbolic_natural",27
6,0.7,0.5,0.1,0.9211,0.35,"Symbolic","frequency","symbolic_natural",28
6,0.7,0.5,0.3,0.7955,0.4,"Symbolic","frequency","symbolic_natural",29
6,0.7,0.5,0.5,0.7,0.4,"Symbolic","frequency","symbolic_natural",30
6,0.7,0.7,0.1,0.9423,0.49,"Symbolic","frequency","symbolic_natural",31
6,0.7,0.7,0.3,0.8448,0.49,"Symbolic","frequency","symbolic_natural",32
6,0.7,0.7,0.5,0.7656,0.3,"Symbolic","frequency","symbolic_natural",33
6,0.7,0.9,0.1,0.9545,0.77,"Symbolic","frequency","symbolic_natural",34
6,0.7,0.9,0.3,0.875,0.7,"Symbolic","frequency","symbolic_natural",35
6,0.7,0.9,0.5,0.8077,0.65,"Symbolic","frequency","symbolic_natural",36
6,0.9,0.5,0.1,0.9783,0.12,"Symbolic","frequency","symbolic_natural",37
6,0.9,0.5,0.3,0.9375,0.6,"Symbolic","frequency","symbolic_natural",38
6,0.9,0.5,0.5,0.9,0.55,"Symbolic","frequency","symbolic_natural",39
6,0.9,0.7,0.1,0.9844,0.6,"Symbolic","frequency","symbolic_natural",40
6,0.9,0.7,0.3,0.9545,0.8,"Symbolic","frequency","symbolic_natural",41
6,0.9,0.7,0.5,0.9265,0.5,"Symbolic","frequency","symbolic_natural",42
6,0.9,0.9,0.1,0.9878,0.9,"Symbolic","frequency","symbolic_natural",43
6,0.9,0.9,0.3,0.9643,0.8,"Symbolic","frequency","symbolic_natural",44
6,0.9,0.9,0.5,0.9419,0.9,"Symbolic","frequency","symbolic_natural",45
7,0.1,0.5,0.1,0.3571,0.5,"Symbolic","frequency","symbolic_natural",1
7,0.1,0.5,0.3,0.1562,0.5,"Symbolic","frequency","symbolic_natural",2
7,0.1,0.5,0.5,0.1,0.5,"Symbolic","frequency","symbolic_natural",3
7,0.1,0.7,0.1,0.4375,0.8,"Symbolic","frequency","symbolic_natural",4
7,0.1,0.7,0.3,0.2059,0.7,"Symbolic","frequency","symbolic_natural",5
7,0.1,0.7,0.5,0.1346,0.7,"Symbolic","frequency","symbolic_natural",6
7,0.1,0.9,0.1,0.5,0.9,"Symbolic","frequency","symbolic_natural",7
7,0.1,0.9,0.3,0.25,0.7,"Symbolic","frequency","symbolic_natural",8
7,0.1,0.9,0.5,0.1667,0.9,"Symbolic","frequency","symbolic_natural",9
7,0.3,0.5,0.1,0.6818,0.5,"Symbolic","frequency","symbolic_natural",10
7,0.3,0.5,0.3,0.4167,0.4,"Symbolic","frequency","symbolic_natural",11
7,0.3,0.5,0.5,0.3,0.3,"Symbolic","frequency","symbolic_natural",12
7,0.3,0.7,0.1,0.75,0.6,"Symbolic","frequency","symbolic_natural",13
7,0.3,0.7,0.3,0.5,0.7,"Symbolic","frequency","symbolic_natural",14
7,0.3,0.7,0.5,0.375,0.4,"Symbolic","frequency","symbolic_natural",15
7,0.3,0.9,0.1,0.7941,0.4,"Symbolic","frequency","symbolic_natural",16
7,0.3,0.9,0.3,0.5625,0.8,"Symbolic","frequency","symbolic_natural",17
7,0.3,0.9,0.5,0.4355,0.25,"Symbolic","frequency","symbolic_natural",18
7,0.5,0.5,0.1,0.8333,0.5,"Symbolic","frequency","symbolic_natural",19
7,0.5,0.5,0.3,0.625,0.5,"Symbolic","frequency","symbolic_natural",20
7,0.5,0.5,0.5,0.5,0.5,"Symbolic","frequency","symbolic_natural",21
7,0.5,0.7,0.1,0.875,0.3,"Symbolic","frequency","symbolic_natural",22
7,0.5,0.7,0.3,0.7,0.6,"Symbolic","frequency","symbolic_natural",23
7,0.5,0.7,0.5,0.5833,0.4,"Symbolic","frequency","symbolic_natural",24
7,0.5,0.9,0.1,0.9,0.5,"Symbolic","frequency","symbolic_natural",25
7,0.5,0.9,0.3,0.75,0.8,"Symbolic","frequency","symbolic_natural",26
7,0.5,0.9,0.5,0.6429,0.8,"Symbolic","frequency","symbolic_natural",27
7,0.7,0.5,0.1,0.9211,0.2,"Symbolic","frequency","symbolic_natural",28
7,0.7,0.5,0.3,0.7955,0.3,"Symbolic","frequency","symbolic_natural",29
